2026-02-12T19:22:58.871000+00:00 | 2026-02-12T16:22:58.871000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:23:03.878000+00:00 | 2026-02-12T16:23:03.878000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:23:03.881000+00:00 | 2026-02-12T16:23:03.881000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:23:09.179000+00:00 | 2026-02-12T16:23:09.179000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:23:09.183000+00:00 | 2026-02-12T16:23:09.183000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:23:14.190000+00:00 | 2026-02-12T16:23:14.190000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:23:14.194000+00:00 | 2026-02-12T16:23:14.194000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:23:19.200000+00:00 | 2026-02-12T16:23:19.200000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:23:19.203000+00:00 | 2026-02-12T16:23:19.203000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:23:24.208000+00:00 | 2026-02-12T16:23:24.208000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:23:24.212000+00:00 | 2026-02-12T16:23:24.212000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:23:29.218000+00:00 | 2026-02-12T16:23:29.218000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:23:29.221000+00:00 | 2026-02-12T16:23:29.221000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:23:34.228000+00:00 | 2026-02-12T16:23:34.228000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:23:34.233000+00:00 | 2026-02-12T16:23:34.233000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:23:39.239000+00:00 | 2026-02-12T16:23:39.239000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:23:39.242000+00:00 | 2026-02-12T16:23:39.242000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:23:44.247000+00:00 | 2026-02-12T16:23:44.247000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:23:44.250000+00:00 | 2026-02-12T16:23:44.250000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:23:49.257000+00:00 | 2026-02-12T16:23:49.257000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:23:49.260000+00:00 | 2026-02-12T16:23:49.260000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:23:54.265000+00:00 | 2026-02-12T16:23:54.265000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:23:54.268000+00:00 | 2026-02-12T16:23:54.268000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:23:54.999000+00:00 | 2026-02-12T16:23:54.999000-03:00 | info | whatsapp:connection | QR code expired | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-12T19:23:59.273000+00:00 | 2026-02-12T16:23:59.273000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:23:59.277000+00:00 | 2026-02-12T16:23:59.277000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:24:04.283000+00:00 | 2026-02-12T16:24:04.283000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:24:04.287000+00:00 | 2026-02-12T16:24:04.287000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:24:09.294000+00:00 | 2026-02-12T16:24:09.294000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:24:09.298000+00:00 | 2026-02-12T16:24:09.298000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:24:14.305000+00:00 | 2026-02-12T16:24:14.305000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:24:14.309000+00:00 | 2026-02-12T16:24:14.309000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:24:15+00:00 | 2026-02-12T16:24:15-03:00 | info | whatsapp:connection | QR code expired | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-12T19:24:19.316000+00:00 | 2026-02-12T16:24:19.316000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
